"LookupType","LookupCode","Meaning","Description","Tag","LegislationCode"
"BENEXCELUPLD","BENUPLDPERHAB","Upload Person Habits","Downloadable integrated Microsoft Excel workbook to view, edit, or record person disability status, student status, and other benefits information.",,
"BEN_ACCPT_DCLN","ACCPT","Accept",,,
"BEN_ACCPT_DCLN","DCLN","Decline",,,
"BEN_ACTN_STAT","E","Error occurred",,,
"BEN_ACTN_STAT","O","Others",,,
"BEN_ACTN_STAT","P","Processed",,,
"BEN_ACTN_STAT","U","Unprocessed",,,
"BEN_ACTN_TYP","BNFADDR","Beneficiary requires address",,,
"BEN_ACTN_TYP","BNFCTFN","Beneficiary requires certification",,,
"BEN_ACTN_TYP","BNFSCCTFN","Beneficiary requires certification of spousal consent",,,
"BEN_ACTN_TYP","BNFDOB","Beneficiary requires date of birth",,,
"BEN_ACTN_TYP","BNFSSN","Beneficiary requires legislative identifier",,,
"BEN_ACTN_TYP","BNFTTEE","Beneficiary requires trustee",,,
"BEN_ACTN_TYP","DDADDR","Dependent requires address",,,
"BEN_ACTN_TYP","DDCTFN","Dependent requires certification",,,
"BEN_ACTN_TYP","DDDOB","Dependent requires date of birth",,,
"BEN_ACTN_TYP","DDSSN","Dependent requires legislative identifier",,,
"BEN_ACTN_TYP","PCPDPNT","Dependent requires primary care physician",,,
"BEN_ACTN_TYP","BNF","Designate beneficiary",,,
"BEN_ACTN_TYP","DD","Designate dependent",,,
"BEN_ACTN_TYP","ENRTCTFN","Enrollment requires certification",,,
"BEN_ACTN_TYP","RSTRNCTFN","Enrollment restriction certification",,,
"BEN_ACTN_TYP","LEECTFN","Life event enrollment requires certification",,,
"BEN_ACTN_TYP","PCPPRTT","Participant requires primary care physician",,,
"BEN_ACTN_TYP","PC","Provide certification",,,
"BEN_ACTN_TYP","BNFADDNL","Requires additional beneficiary designations",,,
"BEN_ACTN_TYP","DDADDNL","Requires additional dependent designations",,,
"BEN_ACTN_TYP","TA","Requires third-party agent approval",,,
"BEN_ACTN_TYP","WVPRTNCTFN","Waive participation requires certification",,,
"BEN_ACTN_TYP_DUE_DT","LTDFED","30 days after later of event date or notification date",,,
"BEN_ACTN_TYP_DUE_DT","30DFLED","30 days after life event",,,
"BEN_ACTN_TYP_DUE_DT","TODFEPS","31 days after enrollment period start",,,
"BEN_ACTN_TYP_DUE_DT","TODFED","31 days after event date",,,
"BEN_ACTN_TYP_DUE_DT","LTODFED","31 days after later of event date or notification date",,,
"BEN_ACTN_TYP_DUE_DT","FFDFEPS","45 days after enrollment period start",,,
"BEN_ACTN_TYP_DUE_DT","FFDFED","45 days after event date",,,
"BEN_ACTN_TYP_DUE_DT","LFFDFED","45 days after later of event date or notification date",,,
"BEN_ACTN_TYP_DUE_DT","SDFED","60 days after event date",,,
"BEN_ACTN_TYP_DUE_DT","LSDFED","60 days after later of event date or notification date",,,
"BEN_ACTN_TYP_DUE_DT","NDFEPS","90 days after enrollment period start",,,
"BEN_ACTN_TYP_DUE_DT","NDFED","90 days after event date",,,
"BEN_ACTN_TYP_DUE_DT","LNDFED","90 days after later of event date or notification date",,,
"BEN_ACTN_TYP_DUE_DT","RL","Formula",,,
"BEN_ACTN_TYP_DUE_DT","LEPPPED","Later of enrollment date or processing period end date",,,
"BEN_ACTN_TYP_LVL","BNF","Beneficiary action items",,,
"BEN_ACTN_TYP_LVL","BNFCTFN","Beneficiary certification",,,
"BEN_ACTN_TYP_LVL","DPNT","Dependent action items",,,
"BEN_ACTN_TYP_LVL","DPNTCTFN","Dependent certification",,,
"BEN_ACTN_TYP_LVL","ENRTCTFN","Enrollment certification",,,
"BEN_ACTN_TYP_LVL","RSTRNCTFN","Enrollment restriction certification",,,
"BEN_ACTN_TYP_LVL","PCP","Primary care physician",,,
"BEN_ACTY_REF_PERD","PYR","Annually",,,
"BEN_ACTY_REF_PERD","BWK","Biweekly",,,
"BEN_ACTY_REF_PERD","PHR","Hourly",,,
"BEN_ACTY_REF_PERD","MO","Monthly",,,
"BEN_ACTY_REF_PERD","PQU","Quarterly",,,
"BEN_ACTY_REF_PERD","SAN","Semiannually",,,
"BEN_ACTY_REF_PERD","SMO","Semimonthly",,,
"BEN_ACTY_REF_PERD","PWK","Weekly",,,
"BEN_ACTY_TYP","CS","Cost",,,
"BEN_ACTY_TYP","CR","Credit",,,
"BEN_ACTY_TYP","DCLNGBAL","Declining balance",,,
"BEN_ACTY_TYP","EEINVALC","Employee Investment allocation",,,
"BEN_ACTY_TYP","EEIC","Employee individual contribution",,,
"BEN_ACTY_TYP","EEPYC","Employee payroll contribution",,,
"BEN_ACTY_TYP","EEPYD","Employee payroll distribution",,,
"BEN_ACTY_TYP","EEPRIID","Employee payroll imputed income distribution",,,
"BEN_ACTY_TYP","EEPLC","Employee plan contribution",,,
"BEN_ACTY_TYP","ERC","Employer contribution",,,
"BEN_ACTY_TYP","ERD","Employer distribution",,,
"BEN_ACTY_TYP","ERMPLC","Employer matching plan contribution",,,
"BEN_ACTY_TYP","ERPYC","Employer payroll contribution",,,
"BEN_ACTY_TYP","ERPYD","Employer payroll distribution",,,
"BEN_ACTY_TYP","GSPSA","Grade Step Progression Salary Amount",,,
"BEN_ACTY_TYP","ITXBN2","Imputed benefit",,,
"BEN_ACTY_TYP","NCRDSTR","Net credits distribution",,,
"BEN_ACTY_TYP","NCRUDED","Net credits used deduction",,,
"BEN_ACTY_TYP","PCN","Participant contribution",,,
"BEN_ACTY_TYP","PDS","Participant distribution",,,
"BEN_ACTY_TYP","PRDPER","Participant expense reimbursement",,,
"BEN_ACTY_TYP","PBC","Participant external contribution",,,
"BEN_ACTY_TYP","PRFRFS","Participant forfeits",,,
"BEN_ACTY_TYP","PBC2","Participant individual contribution",,,
"BEN_ACTY_TYP","PTINVALC","Participant investment allocation",,,
"BEN_ACTY_TYP","PPYC","Participant payroll contribution",,,
"BEN_ACTY_TYP","PPYD","Participant payroll distribution",,,
"BEN_ACTY_TYP","PRDPPR","Participant payroll reimbursement",,,
"BEN_ACTY_TYP","PP","Participant pays",,,
"BEN_ACTY_TYP","PBC1","Participant premium payment",,,
"BEN_ACTY_TYP","PR","Participant receives",,,
"BEN_ACTY_TYP","PRDPR","Participant reimbursement",,,
"BEN_ACTY_TYP","PLC","Plan contribution",,,
"BEN_ACTY_TYP","PLD","Plan distribution",,,
"BEN_ACTY_TYP","RBC","Rate by criteria",,,
"BEN_ACTY_TYP","SSDSPLY","Self-service display",,,
"BEN_ACTY_TYP","SOED","Stock option exercise distribution",,,
"BEN_ACTY_TYP","SOEP","Stock option exercise price",,,
"BEN_ACTY_TYP","SOGP","Stock option grant price",,,
"BEN_ACTY_TYP","SONOS","Stock option quantity of shares",,,
"BEN_ACTY_TYP","SOTGV","Stock option total grant value",,,
"BEN_ACTY_TYP","ITXBN1","Taxable benefit",,,
"BEN_ACTY_TYP","TTLLMT","Total limit",,,
"BEN_ACTY_TYP","VSTDPCT","Vested percentage",,,
"BEN_ADD_CONTACT_R_NOT","ADD","Cover dependents or beneficiaries",,,
"BEN_ADD_CONTACT_R_NOT","DONOTADD","No coverage",,,
"BEN_ADD_RMV","ADD","Allow addition of dependents",,,
"BEN_ADD_RMV","EITHER","Allow addition or removal of dependents",,,
"BEN_ADD_RMV","NOCHG","Allow no changes to dependents",,,
"BEN_ADD_RMV","RMV","Allow removal of dependents",,,
"BEN_ADMIN_PERIOD","1 Month","1 month",,,
"BEN_ADMIN_PERIOD","1 Week","1 week",,,
"BEN_ADMIN_PERIOD","2 Months","2 months",,,
"BEN_ADMIN_PERIOD","2 Weeks","2 weeks",,,
"BEN_ADMIN_PERIOD","3 Months","3 months",,,
"BEN_ADMIN_PERIOD","3 Weeks","3 weeks",,,
"BEN_ADMIN_PERIOD","4 Months","4 months",,,
"BEN_ADMIN_PERIOD","5 Months","5 months",,,
"BEN_ADMIN_PERIOD","6 Months","6 months",,,
"BEN_AGE_DET","AED","As of event date",,,
"BEN_AGE_DET","APOCT1","As of previous October 1",,,
"BEN_AGE_DET","ALDECLY","End of calendar year",,,
"BEN_AGE_DET","ALDCPPSY","End of half year",,,
"BEN_AGE_DET","LALDPPPSY","End of last half year using later of event or notified",,,
"BEN_AGE_DET","LALDPPP","End of last pay period using later of event or notified",,,
"BEN_AGE_DET","ALDELMY","End of limitation year",,,
"BEN_AGE_DET","ALDCM","End of month",,,
"BEN_AGE_DET","ALDCPP","End of pay period",,,
"BEN_AGE_DET","ALDPPPSY","End of previous half year",,,
"BEN_AGE_DET","ALDPM","End of previous month",,,
"BEN_AGE_DET","LALDPM","End of previous month using later of event or notified",,,
"BEN_AGE_DET","ALDPPP","End of previous pay period",,,
"BEN_AGE_DET","ALDPPPQ","End of previous quarter",,,
"BEN_AGE_DET","LALDPPPQ","End of previous quarter using later of event or notified",,,
"BEN_AGE_DET","LALDPSM","End of previous semi month using later of event or notified",,,
"BEN_AGE_DET","ALDPSM","End of previous semi-monthly period",,,
"BEN_AGE_DET","ALDPPPY","End of previous year",,,
"BEN_AGE_DET","LALDPPPY","End of previous year using later of event or notified",,,
"BEN_AGE_DET","ALDCPPQ","End of quarter",,,
"BEN_AGE_DET","ALDCSM","End of semi-monthly period",,,
"BEN_AGE_DET","ALDCPPY","End of year",,,
"BEN_AGE_DET","AFDFSM","First day of the next semi-monthly period",,,
"BEN_AGE_DET","AFDECY","First of calendar year",,,
"BEN_AGE_DET","AFDCSPPY","First of half year",,,
"BEN_AGE_DET","AFDELY","First of limitation year",,,
"BEN_AGE_DET","AFDCM","First of month",,,
"BEN_AGE_DET","AFDFPPSY","First of next half year",,,
"BEN_AGE_DET","AFDFM","First of next month",,,
"BEN_AGE_DET","AFDFPP","First of next pay period",,,
"BEN_AGE_DET","AFDFPPQ","First of next quarter",,,
"BEN_AGE_DET","AFDFPPY","First of next year",,,
"BEN_AGE_DET","AFDCPP","First of pay period",,,
"BEN_AGE_DET","AFDCPPQ","First of quarter",,,
"BEN_AGE_DET","AFDCSM","First of semi month",,,
"BEN_AGE_DET","AFDCSMFDFFNSM","First of semi-month; go to next semi-month if on first",,,
"BEN_AGE_DET","AFDCMFDFFNM","First of this month, or first of next month if on first",,,
"BEN_AGE_DET","AFDCPPY","First of year",,,
"BEN_AGE_DET","RL","Formula",,,
"BEN_AGE_TO_USE_CD","IA","Inherited age",,,
"BEN_AGE_TO_USE_CD","P","Person's",,,
"BEN_AGE_TO_USE_CD","PDP","Person's domestic partner","Derive the age of the person's domestic partner",,
"BEN_AGE_TO_USE_CD","PC1","Person's first child found",,,
"BEN_AGE_TO_USE_CD","PD1","Person's first dependent found",,,
"BEN_AGE_TO_USE_CD","PCO","Person's oldest child",,,
"BEN_AGE_TO_USE_CD","PDO","Person's oldest dependent",,,
"BEN_AGE_TO_USE_CD","PS","Person's spouse",,,
"BEN_AGE_TO_USE_CD","PSORDP","Person's spouse or domestic partner","Derive the age of the person's spouse or domestic partner",,
"BEN_AGE_TO_USE_CD","PCY","Person's youngest child",,,
"BEN_AGE_TO_USE_CD","PDY","Person's youngest dependent",,,
"BEN_ALLCT_BY","AMT","Average amount per employee",,,
"BEN_ALLCT_BY","PCT","Percentage of eligible salary",,,
"BEN_ALLOW_SS_UNRST_PROCG","ALWAYS","Always",,,
"BEN_ALLOW_SS_UNRST_PROCG","NEVER","Never",,,
"BEN_ALLOW_SS_UNRST_PROCG","NDOE","Not during open enrollment",,,
"BEN_ALLOW_SS_UNRST_PROCG","HRDC","Only when person's data changes",,,
"BEN_ALL_R_ANY","ALL","All",,,
"BEN_ALL_R_ANY","ANY","Any",,,
"BEN_ANY_OR_NULL","OABANY","Any value",,,
"BEN_ANY_OR_NULL","NULL","No value",,,
"BEN_APPROVAL_STATUS_CD","IRC_BEN_A","Accept",,,
"BEN_APPROVAL_STATUS_CD","PQH_GSP_A","Approve",,,
"BEN_APPROVAL_STATUS_CD","PQH_GSP_R","Reject",,,
"BEN_APPR_STAT","AP","Approved",,,
"BEN_APPR_STAT","PR","Processed",,,
"BEN_APPR_STAT","RJ","Rejected",,,
"BEN_ARCH_UOM","ONEMTH","One Month",,,
"BEN_ARCH_UOM","TWOMTH","Two months",,,
"BEN_ARCH_UOM","THREEMTH","Three Months",,,
"BEN_ARCH_UOM","SIXMTH","Six Months",,,
"BEN_ARCH_UOM","ONEYR","One Year",,,
"BEN_ASGN_TYP","A","Applicant assignment",,,
"BEN_ASGN_TYP","B","Benefits assignment",,,
"BEN_ASGN_TYP","E","Employee assignment",,,
"BEN_ASG_DEFAULT","N","Create address, do not create benefit assignment",,,
"BEN_ASG_DEFAULT","C","Do not create address or benefit assignment",,,
"BEN_ASG_DEFAULT","Y","Do not create address, create benefit assignment",,,
"BEN_ASMT_TO_USE","ANY","Any assignment",,,
"BEN_ASMT_TO_USE","ANR","Any assignment - benefit relationship",,,
"BEN_ASMT_TO_USE","ANE","Any assignment - enterprise",,,
"BEN_ASMT_TO_USE","ANL","Any assignment - legal employer",,,
"BEN_ASMT_TO_USE","EIS","Any assignment exclude inactive - enterprise",,,
"BEN_ASMT_TO_USE","AAO","Applicant assignment only",,,
"BEN_ASMT_TO_USE","BAB","Benefit nonworker assignment - benefit relationship",,,
"BEN_ASMT_TO_USE","BAO","Benefits assignment only",,,
"BEN_ASMT_TO_USE","BTE","Benefits assignment, then employee assignment",,,
"BEN_ASMT_TO_USE","EAO","Employee assignment only",,,
"BEN_ASMT_TO_USE","EAR","Employee assignment only - benefit relationship",,,
"BEN_ASMT_TO_USE","EAE","Employee assignment only - enterprise",,,
"BEN_ASMT_TO_USE","EAL","Employee assignment only - legal employer",,,
"BEN_ASMT_TO_USE","ETB","Employee assignment, then benefits assignment",,,
"BEN_ASMT_TO_USE","EBA","Employee, then benefits, then applicant assignment",,,
"BEN_ASMT_TO_USE","PAR","Primary employee assignment only - benefit relationship",,,
"BEN_ASMT_TO_USE","PAE","Primary employee assignment only - enterprise",,,
"BEN_ASMT_TO_USE","PAL","Primary employee assignment only - legal employer",,,
"BEN_ASMT_TO_USE","APS","Specific assignment",,,
"BEN_BACKOUT_MD","BO","Back out life event mode",,,
"BEN_BACKOUT_MD","BU","Back out unrestricted mode",,,
"BEN_BATCH_EXE","BENMNOEW","Adjust Open Enrollment Window",,,
"BEN_BATCH_EXE","BILLALCPYMNTS","Allocate and Reconcile Payments",,,
"BEN_BATCH_EXE","ORA_BENMNGBENREL","Assign and Update Benefits Relationships",,,
"BEN_BATCH_EXE","BENBOCON","Back Out Life Events",,,
"BEN_BATCH_EXE","BENSMREP","Benefits confirmation and summary report",,,
"BEN_BATCH_EXE","BEENRKIT","Benefits enrollment kit report",,,
"BEN_BATCH_EXE","BENXTRCT","Benefits extract process",,,
"BEN_BATCH_EXE","BENUNEAI","Close Action Items",,,
"BEN_BATCH_EXE","BENCLENR","Close Enrollment",,,
"BEN_BATCH_EXE","BENTMPCM","Determine communications",,,
"BEN_BATCH_EXE","BENUNVEL","Eligibility engine",,,
"BEN_BATCH_EXE","BENEADEB","Enroll in Default Benefits",,,
"BEN_BATCH_EXE","BENMNGLE","Evaluate Life Event Participation",,,
"BEN_BATCH_EXE","BENXEXP","Extract definition upload from data file",,,
"BEN_BATCH_EXE","BENFRCON","Forfeiture calculation process",,,
"BEN_BATCH_EXE","BILLGNRCHRS","Generate Benefit Coverage Charges",,,
"BEN_BATCH_EXE","BENGCMOD","Group compensation participation process",,,
"BEN_BATCH_EXE","BENCWBPP","Group compensation post process",,,
"BEN_BATCH_EXE","BENPRCON","Premium calculation process",,,
"BEN_BATCH_EXE","BILLPRPCHRS","Prepare Benefit Coverage Charge Data",,,
"BEN_BATCH_EXE","BENDSGEL","Reevaluate Designee Eligibility",,,
"BEN_BATCH_EXE","BENROLER","Reopen Life Events",,,
"BEN_BATCH_EXE","BENTCSSP","Total compensation statement process",,,
"BEN_BATCH_EXE","BENENRTUPLD","Upload Benefit Enrollments",,,
"BEN_BENCLENR_MD","NORCLOSE","Close only if on or later than end date","Closes the life event, and thus the enrollment period, only if the effective date when you run the process is on or later than the enrollment period end date.",,
"BEN_BENCLENR_MD","FORCE","Close irrespective of end date","Closes the life event, and thus the enrollment period, irrespective of the enrollment period end date.",,
"BEN_BENCLENR_MD","PRPENDTR","Preserve pending transactions close","Not to be used",,
"BEN_BENEFIT_RELATION_NAME","ABS","Absence",,,
"BEN_BENEFIT_RELATION_NAME","DFLT","Default",,,
"BEN_BENEFIT_RELATION_NAME","UNRST","Unrestricted",,,
"BEN_BENMNGLE_MD","M","Absences",,,
"BEN_BENMNGLE_MD","AP","Assign potential life event",,,
"BEN_BENMNGLE_MD","A","Collective agreement",,,
"BEN_BENMNGLE_MD","G","Grade and step progression",,,
"BEN_BENMNGLE_MD","W","Group compensation",,,
"BEN_BENMNGLE_MD","L","Life event",,,
"BEN_BENMNGLE_MD","P","Personnel action",,,
"BEN_BENMNGLE_MD","R","Recalculate values",,,
"BEN_BENMNGLE_MD","UR","Recalculate values - unrestricted",,,
"BEN_BENMNGLE_MD","C","Scheduled",,,
"BEN_BENMNGLE_MD","S","Selection",,,
"BEN_BENMNGLE_MD","T","Temporal",,,
"BEN_BENMNGLE_MD","U","Unrestricted",,,
"BEN_BENMNGLE_MD","UO","Unrestricted open",,,
"BEN_BNDRY_PERD","IABIWK","In a biweekly period",,,
"BEN_BNDRY_PERD","IAM","In a month",,,
"BEN_BNDRY_PERD","IAQ","In a quarter",,,
"BEN_BNDRY_PERD","IASM","In a semi-monthly period",,,
"BEN_BNDRY_PERD","IASMP","In a six-month period",,,
"BEN_BNDRY_PERD","IAW","In a week",,,
"BEN_BNDRY_PERD","IAY","In a year",,,
"BEN_BNDRY_PERD","IPPY","In the program or plan year period",,,
"BEN_BNDRY_PERD","ONTM","Once",,,
"BEN_BNDRY_PERD","SI","Since inception",,,
"BEN_BNFTS_BAL_USG","CVG","Coverage",,,
"BEN_BNFTS_BAL_USG","DCBEN","Defined contribution benefit",,,
"BEN_BNFTS_BAL_USG","INS","Insurance",,,
"BEN_BNFTS_BAL_USG","OTHR","Other",,,
"BEN_BNFTS_BAL_USG","PENBEN","Pension benefit",,,
"BEN_BNFTS_BAL_USG","SCK","Sick leave",,,
"BEN_BNFTS_BAL_USG","VAC","Vacation",,,
"BEN_BNFTS_BAL_USG","WLNS","Wellness",,,
"BEN_BNFT_CAGR_PRTN","BNFT","Benefits",,,
"BEN_BNFT_CAGR_PRTN","CHKLIST","Checklist",,,
"BEN_BNFT_CAGR_PRTN","CAGR","Collective agreements",,,
"BEN_BNFT_CAGR_PRTN","CMP","Compensation",,,
"BEN_BNFT_CAGR_PRTN","GLOBAL","Global",,,
"BEN_BNFT_CAGR_PRTN","GOAL","Goals Management",,,
"BEN_BNFT_CAGR_PRTN","MUSE","Multiuse",,,
"BEN_BNFT_CAGR_PRTN","PERFORMANCE","Performance",,,
"BEN_BNFT_CAGR_PRTN","HWR","Personal Brand",,,
"BEN_BNFT_CAT_USAGE","ADMIN","Administrator",,,
"BEN_BNFT_CAT_USAGE","SS","Self Service",,,
"BEN_BNFT_RT_TYP","MLT","Multiply by",,,
"BEN_BNFT_RT_TYP","PERHNDRD","Per hundred",,,
"BEN_BNFT_RT_TYP","PERTEN","Per ten",,,
"BEN_BNFT_RT_TYP","PERTTHSND","Per ten thousand",,,
"BEN_BNFT_RT_TYP","PERTHSND","Per thousand",,,
"BEN_BNFT_RT_TYP","PCT","Percentage",,,
"BEN_BNFT_R_OPT_RSTRN","BNFT","Benefit amount",,,
"BEN_BNFT_R_OPT_RSTRN","OPT","Plan or option sequence",,,
"BEN_BNFT_TYP","BNFT","Benefit",,,
"BEN_BNFT_TYP","CVG","Coverage",,,
"BEN_BNFT_TYP","ITM","Items",,,
"BEN_BNFT_TYP","SOP","Stock options",,,
"BEN_BNFT_TYP","TMO","Time off",,,
"BEN_BNF_CTFN_TYP","AC","Adoption certificate",,,
"BEN_BNF_CTFN_TYP","BC","Birth certificate",,,
"BEN_BNF_CTFN_TYP","NSC","Notarized spousal consent",,,
"BEN_BNF_DFLT","PLA","In accordance with the legal authority",,,
"BEN_BNF_DFLT","PRTT","Participant",,,
"BEN_BNF_DFLT","PSPS","Participant's spouse",,,
"BEN_BNF_DSGN","O","Optional",,,
"BEN_BNF_DSGN","R","Required",,,
"BEN_BNF_ORG_TYP","ORG","Existing organization",,,
"BEN_BNF_ORG_TYP","TTEE","Trust",,,
"BEN_BNF_PCT_AMT_ALWD","PCTA","Allow percentage and amount",,,
"BEN_BNF_PCT_AMT_ALWD","PCTO","Allow percentage only",,,
"BEN_BNF_TYP","O","Organization",,,
"BEN_BNF_TYP","P","Person",,,
"BEN_BOOL","AND","And",,,
"BEN_BOOL","OR","Or",,,
"BEN_BUSINESS_RULE_FREQUENCY","M","Months",,,
"BEN_BUSINESS_RULE_FREQUENCY","Y","Years",,,
"BEN_CALC_COND","CNTN","Contains",,,
"BEN_CALC_COND","ENDS","Ends with",,,
"BEN_CALC_COND","BTWN","Is between",,,
"BEN_CALC_COND","GR","Is greater than",,,
"BEN_CALC_COND","EGR","Is greater than or equal to",,,
"BEN_CALC_COND","LT","Is less than",,,
"BEN_CALC_COND","ELT","Is less than or equal to",,,
"BEN_CALC_COND","NN","Is not null",,,
"BEN_CALC_COND","NULL","Is null",,,
"BEN_CALC_COND","MTCH","Matches exactly",,,
"BEN_CALC_COND","STRS","Starts with",,,
"BEN_CALC_OPER","DIV","Divide by",,,
"BEN_CALC_OPER","SUB","Minus",,,
"BEN_CALC_OPER","MUL","Multiply by",,,
"BEN_CALC_OPER","ADD","Plus",,,
"BEN_CALC_TYP","CALC","Calculation",,,
"BEN_CALC_TYP","COND","Condition",,,
"BEN_CASH_DSTRBN_LMT","AMT","Amount",,,
"BEN_CASH_DSTRBN_LMT","PCT_EXCS","Percentage of excess credits",,,
"BEN_CASH_DSTRBN_LMT","PCT_TOTL","Percentage of total credits",,,
"BEN_CLPSE_CD","CR","Construct rule logic",,,
"BEN_CLPSE_CD","RL","Use formula for rule logic",,,
"BEN_CLPSE_EVAL_CD","DEL","Delete any matching life events",,,
"BEN_CLPSE_EVAL_CD","RL","Formula",,,
"BEN_CLPSE_EVAL_CD","VOID","Void any matching life events",,,
"BEN_CLPSE_LER_DT","ELEDORED","Earliest life event date or resulting event date",,,
"BEN_CLPSE_LER_DT","ELEOD","Earliest life event occurred date",,,
"BEN_CLPSE_LER_DT","EDOBPR","Effective date of the batch process run",,,
"BEN_CLPSE_LER_DT","RL","Formula",,,
"BEN_CLPSE_LER_DT","LLEDORED","Latest life event date or resulting life event date",,,
"BEN_CLPSE_LER_DT","LLEOD","Latest life event occurred date",,,
"BEN_CLS_ENRT_DT_TO_USE","ELCNSMADE","When elections are made",,,
"BEN_CLS_ENRT_DT_TO_USE","ENRTPERDEND","When enrollment period ends",,,
"BEN_CLS_ENRT_DT_TO_USE","PROCGEND","When processing ends",,,
"BEN_CMCD_REF_PERD","YR","Annually",,,
"BEN_CMCD_REF_PERD","EPP","Estimated per pay period",,,
"BEN_CMCD_REF_PERD","MO","Monthly",,,
"BEN_CMCD_REF_PERD","PP","Pay period",,,
"BEN_CMCD_REF_PERD","PPF","Per pay period with frequency rules",,,
"BEN_CMP_ENRT_ACTN_TYP","BNFDSGN","Beneficiary designation",,,
"BEN_CMP_ENRT_ACTN_TYP","DEPCVG","Dependent coverage",,,
"BEN_CMP_ENRT_ACTN_TYP","POE","Proof of event",,,
"BEN_CMP_ENRT_ACTN_TYP","POGH","Proof of good health",,,
"BEN_CRITERIA_TYPE","SEED","Seeded criteria",,,
"BEN_CRITERIA_TYPE","STD","Standard criteria",,,
"BEN_CRITERIA_TYPE","USER","User defined criteria",,,
"BEN_CRNT_ENRT_STAT","DN","Denied","Rejected",,
"BEN_CRNT_ENRT_STAT","NS","Not submitted",,,
"BEN_CRNT_ENRT_STAT","PA","Pending approval",,,
"BEN_CRNT_ENRT_STAT","PR","Processed",,,
"BEN_CRNT_ENRT_STAT","SP","Suspended",,,
"BEN_CRYFWD_ELIG_DPNT","CFRRWP","Carry Forward or Reinstate within Program",,,
"BEN_CRYFWD_ELIG_DPNT","CFWP","Carry Forward within Program",,,
"BEN_CUR_DET","AUTO","Automatic",,,
"BEN_CUR_DET","PLAN","Plan",,,
"BEN_CUR_DET","SALBEL","Salary basis element",,,
"BEN_CUR_DET","STDRTEL","Standard rates element",,,
"BEN_DET_CTFN","ENRAT","Certification is continuously required",,,
"BEN_DET_CTFN","ENRNP","Certification is required if never produced in the past",,,
"BEN_DET_CTFN","ENRDP","Certification is required if new dependent is designated",,,
"BEN_DET_CTFN","ENRAL","Certification is required in this life event",,,
"BEN_DET_CTFN","ENRFT","Enroll for the first time",,,
"BEN_DET_CTFN","RL","Formula",,,
"BEN_DET_PL_YTD_CNTRS","BALONLY","Use balance only",,,
"BEN_DET_PL_YTD_CNTRS","BALTHENEST","Use balance; if not available, then use estimate",,,
"BEN_DET_PL_YTD_CNTRS","BTDADDEST","Use balance; if not current, then add an estimate",,,
"BEN_DET_PL_YTD_CNTRS","ESTONLY","Use estimate only",,,
