"GradeId","EffectiveStartDate","EffectiveEndDate","GradeCode","Name","ActiveStatus","SetId","SetCode","SetName"
300000229762041,"1951-01-01","4712-12-31","L4","L4","A",0,"COMMON","Common Set"
300000229762644,"1951-01-01","4712-12-31","L5","L5","A",0,"COMMON","Common Set"
300000229762009,"1951-01-01","4712-12-31","L6","L6","A",0,"COMMON","Common Set"
300000229762306,"1951-01-01","4712-12-31","L7","L7","A",0,"COMMON","Common Set"
300000229761798,"1951-01-01","4712-12-31","NB","NB","A",0,"COMMON","Common Set"
300000229762431,"1951-01-01","4712-12-31","NB1","NB1","A",0,"COMMON","Common Set"
300000229760495,"1951-01-01","4712-12-31","NB2","NB2","A",0,"COMMON","Common Set"
300000229762176,"1951-01-01","4712-12-31","NB3","NB3","A",0,"COMMON","Common Set"
300000229760358,"1951-01-01","4712-12-31","NB4","NB4","A",0,"COMMON","Common Set"
300000229761622,"1951-01-01","4712-12-31","NB5","NB5","A",0,"COMMON","Common Set"
300000229762341,"1951-01-01","4712-12-31","NB6","NB6","A",0,"COMMON","Common Set"
300000229761549,"1951-01-01","4712-12-31","NOA","NOA","A",0,"COMMON","Common Set"
300000229762321,"1951-01-01","4712-12-31","NOB","NOB","A",0,"COMMON","Common Set"
300000229761637,"1951-01-01","4712-12-31","NOC","NOC","A",0,"COMMON","Common Set"
300000229761151,"1951-01-01","4712-12-31","NOD","NOD","A",0,"COMMON","Common Set"
300000229762544,"1951-01-01","4712-12-31","NOE","NOE","A",0,"COMMON","Common Set"
300000252772219,"1951-01-01","4712-12-31","NPSA1","NPSA-1","A",0,"COMMON","Common Set"
300000254201453,"1951-01-01","4712-12-31","NPSA10","NPSA-10","A",0,"COMMON","Common Set"
300000254201479,"1951-01-01","4712-12-31","NPSA11","NPSA-11","A",0,"COMMON","Common Set"
300000254201505,"1951-01-01","4712-12-31","NPSA12","NPSA-12","A",0,"COMMON","Common Set"
300000252772245,"1951-01-01","4712-12-31","NPSA2","NPSA-2","A",0,"COMMON","Common Set"
300000252772271,"1951-01-01","4712-12-31","NPSA3","NPSA-3","A",0,"COMMON","Common Set"
300000252772297,"1951-01-01","4712-12-31","NPSA4","NPSA-4","A",0,"COMMON","Common Set"
300000252772323,"1951-01-01","4712-12-31","NPSA5","NPSA-5","A",0,"COMMON","Common Set"
300000252772349,"1951-01-01","4712-12-31","NPSA6","NPSA-6","A",0,"COMMON","Common Set"
300000254201375,"1951-01-01","4712-12-31","NPSA7","NPSA-7","A",0,"COMMON","Common Set"
300000254201401,"1951-01-01","4712-12-31","NPSA8","NPSA-8","A",0,"COMMON","Common Set"
300000254201427,"1951-01-01","4712-12-31","NPSA9","NPSA-9","A",0,"COMMON","Common Set"
300000229761673,"1951-01-01","4712-12-31","P1","P1","A",0,"COMMON","Common Set"
300000229761537,"1951-01-01","4712-12-31","P2","P2","A",0,"COMMON","Common Set"
300000229760648,"1951-01-01","4712-12-31","P3","P3","A",0,"COMMON","Common Set"
300000229762457,"1951-01-01","4712-12-31","P4","P4","A",0,"COMMON","Common Set"
300000229762197,"1951-01-01","4712-12-31","P5","P5","A",0,"COMMON","Common Set"
300000229760360,"1951-01-01","4712-12-31","P6","P6","A",0,"COMMON","Common Set"
300000229760801,"1951-01-01","4712-12-31","P7","P7","A",0,"COMMON","Common Set"
300000229762577,"1951-01-01","4712-12-31","PD1","PD1","A",0,"COMMON","Common Set"
300000229761154,"1951-01-01","4712-12-31","PD2","PD2","A",0,"COMMON","Common Set"
300000229761532,"1951-01-01","4712-12-31","PS0","PS0","A",0,"COMMON","Common Set"
300000229760874,"1951-01-01","4712-12-31","PS1","PS1","A",0,"COMMON","Common Set"
300000229760725,"1951-01-01","4712-12-31","PS2","PS2","A",0,"COMMON","Common Set"
300000229760100,"1951-01-01","4712-12-31","PS3","PS3","A",0,"COMMON","Common Set"
300000229761705,"1951-01-01","4712-12-31","PS4","PS4","A",0,"COMMON","Common Set"
300000229760748,"1951-01-01","4712-12-31","PS5","PS5","A",0,"COMMON","Common Set"
300000229761861,"1951-01-01","4712-12-31","PS6","PS6","A",0,"COMMON","Common Set"
300000229760600,"1951-01-01","4712-12-31","PS7","PS7","A",0,"COMMON","Common Set"
300000229760121,"1951-01-01","4712-12-31","PSA","PSA","A",0,"COMMON","Common Set"
300000229760886,"1951-01-01","4712-12-31","PSB","PSB","A",0,"COMMON","Common Set"
300000229760391,"1951-01-01","4712-12-31","PSC","PSC","A",0,"COMMON","Common Set"
300000229761029,"1951-01-01","4712-12-31","PSD","PSD","A",0,"COMMON","Common Set"
300000229761007,"1951-01-01","4712-12-31","SB1","SB1","A",0,"COMMON","Common Set"
300000229761108,"1951-01-01","4712-12-31","SB2","SB2","A",0,"COMMON","Common Set"
300000229760498,"1951-01-01","4712-12-31","SB3","SB3","A",0,"COMMON","Common Set"
300000229761185,"1951-01-01","4712-12-31","SB4","SB4","A",0,"COMMON","Common Set"
300000229760835,"1951-01-01","4712-12-31","SB5","SB5","A",0,"COMMON","Common Set"
300000229760568,"1951-01-01","4712-12-31","T1","T1","A",0,"COMMON","Common Set"
300000229760780,"1951-01-01","4712-12-31","T2","T2","A",0,"COMMON","Common Set"
300000229760236,"1951-01-01","4712-12-31","TC1","TC1","A",0,"COMMON","Common Set"
300000229760288,"1951-01-01","4712-12-31","TC2","TC2","A",0,"COMMON","Common Set"
300000229760194,"1951-01-01","4712-12-31","TC3","TC3","A",0,"COMMON","Common Set"
300000229762276,"1951-01-01","4712-12-31","TC4","TC4","A",0,"COMMON","Common Set"
300000229761360,"1951-01-01","4712-12-31","TC5","TC5","A",0,"COMMON","Common Set"
300000229761284,"1951-01-01","4712-12-31","TC6","TC6","A",0,"COMMON","Common Set"
300000229760708,"1951-01-01","4712-12-31","TC7","TC7","A",0,"COMMON","Common Set"
300000229762220,"1951-01-01","4712-12-31","TC8","TC8","A",0,"COMMON","Common Set"
300000229762349,"1951-01-01","4712-12-31","TN","TN","A",0,"COMMON","Common Set"
300000229762680,"1951-01-01","4712-12-31","USG","USG","A",0,"COMMON","Common Set"
300000229761382,"1951-01-01","4712-12-31","UT","UT","A",0,"COMMON","Common Set"
